Series Name,Series Code,Time,Time Code,Italy [ITA],Japan [JPN],Canada [CAN],France [FRA],Germany [DEU],United Kingdom [GBR],United States [USA]
GDP (current US$),NY.GDP.MKTP.CD,1975,YR1975,2.28221E+11,5.32861E+11,1.7442E+11,3.56781E+11,4.92434E+11,2.41757E+11,1.6849E+12
GDP (current US$),NY.GDP.MKTP.CD,1976,YR1976,2.25235E+11,5.98884E+11,2.07272E+11,3.68488E+11,5.21659E+11,2.32615E+11,1.87341E+12
GDP (current US$),NY.GDP.MKTP.CD,1977,YR1977,2.5819E+11,7.37069E+11,2.12325E+11,4.06736E+11,6.02698E+11,2.63066E+11,2.08183E+12
GDP (current US$),NY.GDP.MKTP.CD,1978,YR1978,3.15784E+11,1.03561E+12,2.1937E+11,5.01724E+11,7.43183E+11,3.35883E+11,2.3516E+12
GDP (current US$),NY.GDP.MKTP.CD,1979,YR1979,3.94585E+11,1.07791E+12,2.43891E+11,6.08219E+11,8.84574E+11,4.38994E+11,2.62733E+12
GDP (current US$),NY.GDP.MKTP.CD,1980,YR1980,4.78357E+11,1.12938E+12,2.74777E+11,6.94529E+11,9.53772E+11,5.64948E+11,2.85731E+12
GDP (current US$),NY.GDP.MKTP.CD,1981,YR1981,4.31696E+11,1.24522E+12,3.07247E+11,6.09185E+11,8.03405E+11,5.40766E+11,3.20704E+12
GDP (current US$),NY.GDP.MKTP.CD,1982,YR1982,4.28257E+11,1.15873E+12,3.14648E+11,5.78152E+11,7.79422E+11,5.15049E+11,3.34379E+12
GDP (current US$),NY.GDP.MKTP.CD,1983,YR1983,4.44063E+11,1.27086E+12,3.41866E+11,5.53356E+11,7.73508E+11,4.89618E+11,3.63404E+12
GDP (current US$),NY.GDP.MKTP.CD,1984,YR1984,4.38897E+11,1.34582E+12,3.56718E+11,5.25033E+11,7.27768E+11,4.61487E+11,4.03761E+12
GDP (current US$),NY.GDP.MKTP.CD,1985,YR1985,4.5326E+11,1.42702E+12,3.66186E+11,5.47221E+11,7.35219E+11,4.89285E+11,4.33898E+12
GDP (current US$),NY.GDP.MKTP.CD,1986,YR1986,6.41862E+11,2.12008E+12,3.79007E+11,7.64947E+11,1.05009E+12,6.01453E+11,4.57963E+12
GDP (current US$),NY.GDP.MKTP.CD,1987,YR1987,8.0757E+11,2.58075E+12,4.33134E+11,9.26321E+11,1.30293E+12,7.45163E+11,4.85522E+12
GDP (current US$),NY.GDP.MKTP.CD,1988,YR1988,8.93664E+11,3.12572E+12,5.0938E+11,1.01083E+12,1.40637E+12,9.10123E+11,5.23644E+12
GDP (current US$),NY.GDP.MKTP.CD,1989,YR1989,9.30802E+11,3.10946E+12,5.67212E+11,1.01674E+12,1.40409E+12,9.26885E+11,5.64158E+12
GDP (current US$),NY.GDP.MKTP.CD,1990,YR1990,1.18395E+12,3.1859E+12,5.96076E+11,1.25765E+12,1.77816E+12,1.09317E+12,5.96314E+12
GDP (current US$),NY.GDP.MKTP.CD,1991,YR1991,1.24909E+12,3.64807E+12,6.12528E+11,1.25896E+12,1.87579E+12,1.1428E+12,6.15813E+12
GDP (current US$),NY.GDP.MKTP.CD,1992,YR1992,1.3232E+12,3.9807E+12,5.94387E+11,1.38966E+12,2.14138E+12,1.17966E+12,6.52033E+12
GDP (current US$),NY.GDP.MKTP.CD,1993,YR1993,1.06741E+12,4.53694E+12,5.79054E+11,1.31438E+12,2.07895E+12,1.06139E+12,6.85856E+12
GDP (current US$),NY.GDP.MKTP.CD,1994,YR1994,1.10175E+12,4.9988E+12,5.79944E+11,1.38582E+12,2.21528E+12,1.14049E+12,7.28724E+12
GDP (current US$),NY.GDP.MKTP.CD,1995,YR1995,1.17737E+12,5.54556E+12,6.05961E+11,1.59522E+12,2.59305E+12,1.34424E+12,7.63975E+12
